time,url,filesize
2026-04-07T22:29:05Z,https://yukon.ca/en/travel-expense-report-premiers-meeting-minister-wilkinsonconsul-january-4-january-7-2023,3269
2026-04-07T22:29:07Z,https://yukon.ca/en/travel-expense-report-minister-silver-round-meeting-january-19-25-2024,2386
2026-04-07T22:29:08Z,https://yukon.ca/en/travel-expense-report-round-meeting-january-20-january-23-2024,3130
2026-04-07T22:29:09Z,https://yukon.ca/en/travel-expense-report-meeting-minister-wilkinson-january-20-january-25-2024,2849
2026-04-07T22:29:10Z,https://yukon.ca/en/travel-expense-report-round-january-21-january-26-2024,2192
2026-04-07T22:29:11Z,https://yukon.ca/en/travel-expense-report-finance-ministers-provincialterritorialfederal-december-11-december-18-2024,2742
2026-04-07T22:29:12Z,https://yukon.ca/en/travel-expense-report-yukon-days-minister-mosytn-december-2-6-2023,4173
2026-04-07T22:29:13Z,https://yukon.ca/en/travel-expense-report-yukon-days-december-02-december-07-2023,2279
2026-04-07T22:29:14Z,https://yukon.ca/en/travel-expense-report-for-yukon-days-december-03-to-december-08,2443
2026-04-07T22:29:15Z,https://yukon.ca/en/travel-expense-report-yukon-days-minister-clarke-december-03-december-08-2023,2289
2026-04-07T22:29:16Z,https://yukon.ca/en/travel-expense-report-premiere-yukon-days-december-02-december-10-2023,3302
2026-04-07T22:29:16Z,https://yukon.ca/en/travel-expense-report-bc-cabinet-fn-leaders-gathering-november-02-03-2023,2474
2026-04-07T22:29:17Z,https://yukon.ca/en/travel-expense-report-cof-premiers-meeting-november-3-november-7-2023,3083
2026-04-07T22:29:18Z,https://yukon.ca/en/travel-expense-report-for-europe-mission-from-november-24-to-november-30-2023,3258
2026-04-07T22:29:19Z,https://yukon.ca/en/travel-expense-report-banff-forum-october-20-2023,2451
2026-04-07T22:29:19Z,https://yukon.ca/en/premier-eby-consuls-meeting-oct-27-oct-29-2023,2967
2026-04-07T22:29:20Z,https://yukon.ca/en/travel-expense-report-asian-mission-september-07-september-24-2023,3190
2026-04-07T22:29:21Z,https://yukon.ca/en/travel-expense-report-federal-ministers-meeting-september-20-22-2023,2041
2026-04-07T22:29:22Z,https://yukon.ca/en/travel-expense-report-denver-gold-forum-september-11-21-2023,2431
2026-04-07T22:29:24Z,https://yukon.ca/en/travel-expense-report-2023-ending-gender-based-violence-forum-septenber-05-07-2023,2998
2026-04-07T22:29:25Z,https://yukon.ca/en/travel-expense-report-asian-mission-september-07-september-13-2023,2800
2026-04-07T22:29:26Z,https://yukon.ca/en/find-minister-travel-expenses-ministers-meetings-september-1-september-7-2023,4094
2026-04-07T22:29:27Z,https://yukon.ca/en/travel-expense-report-emmc-conference-august-27-september-1-2023,2772
2026-04-07T22:29:28Z,https://yukon.ca/en/travel-expense-report-tour-qikiqtaruk-august-21-august-23-2023,2290
2026-04-07T22:29:29Z,https://yukon.ca/en/travel-expense-report-signing-offshore-accord-august-10-2023,3198
2026-04-07T22:29:30Z,https://yukon.ca/en/travel-expense-report-2023-fpt-ministers-responsible-status-women,2851
2026-04-07T22:29:31Z,https://yukon.ca/en/travel-expense-report-haa-kusteeyi-celebration-july-29-july-30-2023,2416
2026-04-07T22:29:32Z,https://yukon.ca/en/travel-expense-report-white-pass-125th-anniversary-july-29-july-30-2023,2869
2026-04-07T22:29:33Z,https://yukon.ca/en/travel-expense-report-ccme-council-ministers-meetings-july-25-july-28-2023,2661
2026-04-07T22:29:34Z,https://yukon.ca/en/travel-expense-report-meeting-nova-scotia-premier-july-25-july-26-2023,2755
2026-04-07T22:29:35Z,https://yukon.ca/en/travel-expense-report-fpt-ministers-agriculture-july-18-july-22-2023,3203
2026-04-07T22:29:36Z,https://yukon.ca/en/travel-expense-report-2023-north-american-indigenous-games-july-14-july-17-2023,2881
2026-04-07T22:29:37Z,https://yukon.ca/en/travel-expense-report-pacific-northwest-economic-region-july-14-july-21-2023,3166
2026-04-07T22:29:39Z,https://yukon.ca/en/travel-expense-report-2023-fpt-ministers-responsible-early-learning-child-care,2835
2026-04-07T22:29:40Z,https://yukon.ca/en/travel-expense-report-council-ministers-education-canada-meeting-july-11-july-14-2023,2813
2026-04-07T22:29:41Z,https://yukon.ca/en/travel-expense-report-cof-summer-meetings-july-9-13-2023,3226
2026-04-07T22:29:42Z,https://yukon.ca/en/travel-expense-report-ministers-council-canadian-francophonie-july-5-7-2023,2758
2026-04-07T22:29:43Z,https://yukon.ca/en/travel-expense-report-fpt-ministers-responsible-culture-and-heritage-june-26-30-2023,2847
2026-04-07T22:29:44Z,https://yukon.ca/en/travel-expense-report-western-premiers-conference-june-25-june-27-2023,3050
2026-04-07T22:29:45Z,https://yukon.ca/en/travel-expense-report-fpt-ministers-infrastructure-meeting-june-19-23-2023,2804
2026-04-07T22:29:47Z,https://yukon.ca/en/travel-expense-report-fpt-ministers-responsible-human-rights-june-15-30-2023,2585
2026-04-07T22:29:48Z,https://yukon.ca/en/travel-expense-report-pt-ministers-responsible-local-government-june-1-7-2023,2710
2026-04-07T22:29:49Z,https://yukon.ca/en/travel-expense-report-cirnac-june-1-5-2023,2697
2026-04-07T22:29:50Z,https://yukon.ca/en/travel-expense-report-rendezvous-canada-may-28-june-1-2023,2690
2026-04-07T22:29:51Z,https://yukon.ca/en/travel-expense-report-northern-premiers-forum-may-16-17-2023,3341
2026-04-07T22:29:52Z,https://yukon.ca/en/travel-expense-report-ministerial-meetings-may-3-6-2023,2375
2026-04-07T22:29:53Z,https://yukon.ca/en/travel-expense-report-premier-fordstakeholder-meetings-april-30-may-8-2023,3749
2026-04-07T22:29:54Z,https://yukon.ca/en/travel-expense-report-meeting-air-north-april-6-8-2023,2555
2026-04-07T22:29:55Z,https://yukon.ca/en/travel-expense-report-first-nations-meetings-march-17-2023,2686
2026-04-07T22:29:56Z,https://yukon.ca/en/travel-expense-report-2023-canada-winter-games-february-15-20-2023,2620
2026-04-07T22:29:58Z,https://yukon.ca/en/travel-expense-report-prime-minister-and-premiersec-devconsul-gen-india-meetings-february-10-15-2023,3571
2026-04-07T22:29:59Z,https://yukon.ca/en/travel-expense-report-fpt-finance-meetings-february-1-4-2023,2413
2026-04-07T22:30:00Z,https://yukon.ca/en/travel-expense-report-vric-meetings-january-29-30-2023,2439
2026-04-07T22:30:01Z,https://yukon.ca/en/travel-expense-report-2023-arctic-winter-games-january-28-31-2023,2521
2026-04-07T22:30:03Z,https://yukon.ca/en/travel-expense-report-vric-conference-january-28-30-2023,2468
2026-04-07T22:30:04Z,https://yukon.ca/en/travel-expense-report-ame-roundup-january-21-27-2023,4380
2026-04-07T22:30:05Z,https://yukon.ca/en/travel-expense-report-fpt-symposium-digital-identity-cybersecurityroundup-january-20-26-2023,2867
2026-04-07T22:30:06Z,https://yukon.ca/en/travel-expense-report-affinity-north-indigenous-negotiations-workshop-january-12-13-2023,2415
2026-04-07T22:30:08Z,https://yukon.ca/en/travel-expense-report-canadian-delegation-cnd-cop15-december-12-22-2022,2700
2026-04-07T22:30:09Z,https://yukon.ca/en/travel-expense-report-fpt-ministers-emergency-management-meeting-december-10-17-2022,2687
2026-04-07T22:30:10Z,https://yukon.ca/en/travel-expense-report-yukon-days-cit-meetings-and-mining-meetings-december-4-11-2022,3105
2026-04-07T22:30:11Z,https://yukon.ca/en/travel-expense-report-yukon-days-december-3-8-2022,2625
2026-04-07T22:30:12Z,https://yukon.ca/en/travel-expense-report-yukon-days-and-federal-bilateral-engagements-december-2-9-2022,3050
2026-04-07T22:30:13Z,https://yukon.ca/en/travel-expense-report-ministerial-meetings-november-27-to-december-1-2022,2212
2026-04-07T22:30:14Z,https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-health-ministers-meetings-november-5-6-2022,2952
2026-04-07T22:30:16Z,https://yukon.ca/en/travel-expense-report-tourism-housing-and-infrastructure-meetings-november-4-6-2022,2278
2026-04-07T22:30:17Z,https://yukon.ca/en/travel-expense-report-carbon-capture-canada-event-september-19-22-2022,2256
2026-04-07T22:30:18Z,https://yukon.ca/en/travel-expense-report-mining-meetings-precious-minerals-and-gold-show-september-9-19-2022,2500
2026-04-07T22:30:19Z,https://yukon.ca/en/travel-expense-report-arctic-circle-greenland-forum-august-23-30-2022,3343
2026-04-07T22:30:20Z,https://yukon.ca/en/travel-expense-report-canada-summer-games-august-3-8-2022,2266
2026-04-07T22:30:22Z,https://yukon.ca/en/travel-expense-report-pacific-northwest-economic-region-summit-july-21-31-2022,3385
2026-04-07T22:30:23Z,https://yukon.ca/en/travel-expense-report-ministers-visit-aklavik-herschel-island-july-11-16-2022,2837
2026-04-07T22:30:24Z,https://yukon.ca/en/travel-expense-report-fpt-ministers-most-responsible-elcc-july-11-12,2283
2026-04-07T22:30:25Z,https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-ministers-culture-and-heritage-and-federal,2624
2026-04-07T22:30:26Z,https://yukon.ca/en/travel-expense-report-council-federation-july-7-13-2022,2811
2026-04-07T22:30:27Z,https://yukon.ca/en/travel-expense-report-energy-mines-ministers-conference-july-5-9-2022,2350
2026-04-07T22:30:28Z,https://yukon.ca/en/travel-expense-report-canadian-council-ministers-education-conference-july-4-6-2022,2272
2026-04-07T22:30:29Z,https://yukon.ca/en/travel-expense-report-independence-day-july-4-2022,2343
2026-04-07T22:30:30Z,https://yukon.ca/en/travel-expense-report-economic-development-film-meetings-june-29-july-2-2022,2257
2026-04-07T22:30:31Z,https://yukon.ca/en/travel-expense-report-federal-minister-meetings-and-matriarch-summit-june-20-24-2022,2616
2026-04-07T22:30:32Z,https://yukon.ca/en/travel-expense-report-pdac-conference-and-meetings-ottawa-and-new-york-june-12-17-2022,2522
2026-04-07T22:30:33Z,https://yukon.ca/en/travel-expense-report-pdac-conference-june-12-15-2022,2658
2026-04-07T22:30:35Z,https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-health-ministers-meeting-june-5-6-2022,2617
2026-04-07T22:30:36Z,https://yukon.ca/en/travel-expense-report-western-premiers-conference-may-25-30,2739
2026-04-07T22:30:37Z,https://yukon.ca/en/travel-expense-report-atlin-expansion-project-site-visit-may-25-2022,2305
2026-04-07T22:30:38Z,https://yukon.ca/en/travel-expense-report-vancouver-resource-investment-conference-may-16-18-2022,2706
2026-04-07T22:30:39Z,https://yukon.ca/en/travel-expense-report-air-north-inaugural-flight-and-meeting-prime-minister-and-federal-ministers,3918
2026-04-07T22:30:40Z,https://yukon.ca/en/travel-expense-report-meeting-federal-provincial-and-territorial-ministers-agriculture-april-30-may,2697
2026-04-07T22:30:41Z,https://yukon.ca/en/travel-expense-report-westac-fall-member-forum-december-7-12-2021,2265
2026-04-07T22:30:43Z,https://yukon.ca/en/travel-expense-report-destination-canada-meetings-september-28-october-1-2021,2397
2026-04-07T22:30:44Z,https://yukon.ca/en/travel-expense-report-prospector-and-developers-association-canada-mineral-exploration-and-mining,2886
2026-04-07T22:30:45Z,https://yukon.ca/en/travel-expense-report-council-ministers-responsible-transportation-and-highway-safety-federal,2829
2026-04-07T22:30:46Z,https://yukon.ca/en/travel-expense-report-meetings-federal-ministers-february-2-6-2020,2856
2026-04-07T22:30:47Z,https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-justice-ministers-meeting-january-21,4008
2026-04-07T22:30:49Z,https://yukon.ca/en/travel-expense-report-ministers-meeting-early-learning-and-childcare-and-ame-roundup-january-19-24,2902
2026-04-07T22:30:50Z,https://yukon.ca/en/travel-expense-report-vancouver-resource-investment-conference-and-mineral-exploration-roundup,3028
2026-04-07T22:30:51Z,https://yukon.ca/en/travel-expense-purpose-impact-conference-january-17-23,2425
2026-04-07T22:30:52Z,https://yukon.ca/en/travel-expense-purpose-mining-hall-fame-january-7-10-2020,2249
2026-04-07T22:30:54Z,https://yukon.ca/en/travel-expense-purpose-finance-ministers-meeting-december-16-17-2019,2185
2026-04-07T22:30:55Z,https://yukon.ca/en/travel-expense-purpose-federal-ministers-meetings-december-8-12-2019,3993
2026-04-07T22:30:56Z,https://yukon.ca/en/travel-expense-purpose-council-federal-meeting-and-yukon-days-december-1-6-2019,2985
2026-04-07T22:30:57Z,https://yukon.ca/en/travel-expense-purpose-meeting-federal-provincial-and-territorial-ministers-responsible-status-women,2339
2026-04-07T22:30:58Z,https://yukon.ca/en/travel-expense-report-yukon-days-november-30-december-6-2019,2842
2026-04-07T22:31:00Z,https://yukon.ca/en/travel-expense-report-world-town-planning-event-november-2-3-2019,3832
2026-04-07T22:31:01Z,https://yukon.ca/en/travel-expense-report-celebration-life-julie-lane-october-20-2019,2379
2026-04-07T22:31:02Z,https://yukon.ca/en/travel-expense-report-denver-gold-forum-september-14-18-2019,2756
2026-04-07T22:31:03Z,https://yukon.ca/en/travel-expense-report-port-skagway-work-session-august-8-2019,2166
2026-04-07T22:31:04Z,https://yukon.ca/en/council-of-ministers-of-education-july-2019,4718
2026-04-07T22:31:06Z,https://yukon.ca/en/pacific-northwest-economic-region-july-2019,4125
2026-04-07T22:31:07Z,https://yukon.ca/en/travel-expense-report-energy-and-mines-ministers-conference-meetingministers-agriculture-meeting,3207
2026-04-07T22:31:08Z,https://yukon.ca/en/travel-expense-report-council-federation-summer-meeting-july-7-11-2019,3217
2026-04-07T22:31:09Z,https://yukon.ca/en/travel-expense-report-witness-unesco-world-heritage-july-4-12-2019,4147
2026-04-07T22:31:10Z,https://yukon.ca/en/western-premiers-conference-june-25-july-1-2019,3315
2026-04-07T22:31:11Z,https://yukon.ca/en/federal-ministers-meetinginvestment-attraction-meeting-june-16-21-2019,2533
2026-04-07T22:31:12Z,https://yukon.ca/en/federal-ministers-meeting-june-16-20-2019,2298
2026-04-07T22:31:13Z,https://yukon.ca/en/federal-provincial-and-territorial-meeting-tourism-and-culture-june-15-20-2019,2489
2026-04-07T22:31:14Z,https://yukon.ca/en/meeting-provincial-and-territorial-ministers-responsible-local-government-june-10-14-ministerial,2872
2026-04-07T22:31:16Z,https://yukon.ca/en/women-deliver-conference-june-4-8-2019,2533
2026-04-07T22:31:17Z,https://yukon.ca/en/121-mining-investment-conferencecanadian-mining-symposium-may-19-27-2019,3229
2026-04-07T22:31:18Z,https://yukon.ca/en/collision-conferencecanada-free-trade-agreement-meeting-may-19-30-2019,2774
2026-04-07T22:31:19Z,https://yukon.ca/en/seniors-forum-federal-provincial-and-territorial-ministers-meeting-may-20-23-2019,2889
2026-04-07T22:31:20Z,https://yukon.ca/en/rendezvous-canada-meeting-may-22-may-29,2417
2026-04-07T22:31:21Z,https://yukon.ca/en/alaska-industrial-development-and-export-authority-municipality-skagway-april-2019,2976
2026-04-07T22:31:22Z,https://yukon.ca/en/health-and-social-services-federal-provincial-and-territorial-ministers-committee-april-22-april-24,2703
2026-04-07T22:31:23Z,https://yukon.ca/en/travel-expense-report-prospectors-and-developers-association-canada-globe-capital-february-27-march,4757
2026-04-07T22:31:24Z,https://yukon.ca/en/travel-expense-report-alaska-mission-february-17-20-2019,2836
2026-04-07T22:31:25Z,https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-ministers-responsible-sportscanada-winter,2736
2026-04-07T22:31:26Z,https://yukon.ca/en/travel-expense-report-first-nation-directors-education-national-forum-february-12-15-2019,2504
2026-04-07T22:31:27Z,https://yukon.ca/en/travel-expense-report-association-mineral-exploration-roundup-2019-january-27-february-1-2019,3071
